Player,PlayerID,Bats
Tyrone Taylor,tayloty01,R
Mike Zunino,zuninmi01,R
Yonathan Daza,dazayo01,R
Logan Forsythe,forsylo01,R
Tim Beckham,beckhti01,R
Robinson Chirinos,chiriro01,R
Oscar Gonzalez,gonzaos01,R
Chad Pinder,pindech01,R
Carlos Gomez,gomezca01,R
Spencer Torkelson,torkesp01,R
Chas McCormick,mccorch01,R
Jon Berti,bertijo01,R
Delino DeShields,deshide02,R
Devon Travis,travide01,R
Elias Diaz,diazel01,R
Jedd Gyorko,gyorkje01,R
Eric Haase,haaseer01,R
Christian Villanueva,villach01,R
Tyler Stephenson,stephty01,R
Austin Jackson,jacksau01,R
Danny Jansen,janseda01,R
Austin Nola,nolaau01,R
Kurt Suzuki,suzukku01,R
Luis Torrens,torrelu01,R
Phil Gosselin,gosseph01,R
Cameron Maybin,maybica01,R
Byron Buxton,buxtoby01,R
Jose Trevino,trevijo01,R
William Contreras,contrwi02,R
Howie Kendrick,kendrho01,R
Darin Ruf,rufda01,R
Max Stassi,stassma01,R
Francisco Cervelli,cervefr01,R
Dylan Moore,mooredy01,R
Isaac Paredes,paredis01,R
Emmanuel Rivera,riverem01,R
Mark Trumbo,trumbma01,R
Bryan De La Cruz,delacbr01,R
Jose Bautista,bautijo02,R
Matt Vierling,vierlma01,R
John Hicks,hicksjo02,R
Christian Bethancourt,bethach01,R
Ronald Torreyes,torrero01,R
Carson Kelly,kellyca02,R
Hernan Perez,perezhe01,R
Keston Hiura,hiurake01,R
Josh Phegley,phegljo01,R
Austin Hedges,hedgeau01,R
Gilberto Celestino,celesgi01,R
Mitch Garver,garvemi01,R
Cheslor Cuthbert,cuthbch01,R
Juan Lagares,lagarju01,R
Donovan Solano,solando01,R
Manny Pina,pinama01,R
Guillermo Heredia,heredgu01,R
David Bote,boteda01,R
Jose Siri,sirijo01,R
Nick Allen,allenni02,R
Chris Iannetta,iannech01,R
Charlie Culberson,culbech01,R
Adeiny Hechavarria,hechaad01,R
Yairo Munoz,munozya01,R
Jake Marisnick,marisja01,R
Russell Martin,martiru01,R
Edmundo Sosa,sosaed01,R
Ryan Zimmerman,zimmery01,R
Hunter Pence,pencehu01,R
Tomás Nido,nidoto01,R
Richie Martin,martiri01,R
Nick Hundley,hundlni01,R
Daniel Robertson,roberda10,R
Chris Owings,owingch01,R
Christian Arroyo,arroych01,R
David Freese,freesda01,R
Tom Murphy,murphto04,R
Austin Slater,slateau01,R
Ronny Rodriguez,rodriro03,R
Dawel Lugo,lugoda01,R
Kelvin Gutierrez,gutieke01,R
Tyler Flowers,flowety01,R
Joshua Fuentes,fuentjo01,R
Sheldon Neuse,neusesh01,R
Frank Schwindel,schwifr01,R
Jo Adell,adelljo01,R
Ryan Jeffers,jeffery01,R
Jack Mayfield,mayfija01,R
Caleb Joseph,josepca01,R
Diego Castillo,castidi02,R
Joey Bart,bartjo01,R
Jose Osuna,osunajo01,R
Andrew Knizner,kniznan01,R
Aristides Aquino,aquinar01,R
Pat Valaika,valaipa01,R
Danny Valencia,valenda01,R
Andy Ibáñez,ibanean01,R
Juan Yepez,yepezju01,R
Martin Prado,pradoma01,R
Tyler Austin,austity01,R
Devin Mesoraco,mesorde01,R
Matt Reynolds,reynoma03,R
Aaron Altherr,altheaa01,R
Mauricio Dubon,dubonma01,R
Austin Romine,rominau01,R
Cristian Pache,pachecr01,R
Steven Souza Jr.,souzast01,R
Yermin Mercedes,merceye01,R
Tyler White,whitety01,R
Kevin Plawecki,plaweke01,R
Yu Chang,changyu01,R
Jorge Bonifacio,bonifjo01,R
Phil Ervin,ervinph01,R
Welington Castillo,castiwe01,R
Kyle Higashioka,higasky01,R
Jeff Mathis,mathije01,R
Jackson Frazier,frazicl01,R
Jordan Luplow,luplojo01,R
Zack Cozart,cozarza01,R
Gordon Beckham,beckhgo01,R
Mikie Mahtook,mahtomi01,R
DJ Peters,peterdj01,R
Joey Meneses,menesjo01,R
Johnny Field,fieldjo04,R
Erik Gonzalez,gonzaer01,R
Trayce Thompson,thomptr01,R
Ryan Cordell,cordery01,R
Nick Fortes,forteni01,R
Carter Kieboom,kieboca01,R
Steve Pearce,pearcst01,R
Phillip Evans,evansph01,R
Dixon Machado,machadi01,R
Joey Rickard,rickajo01,R
Austin Barnes,barneau01,R
Tim Locastro,locasti01,R
Nick Madrigal,madrini01,R
Willians Astudillo,astudwi01,R
Ezequiel Duran,duranez01,R
Grayson Greiner,greingr01,R
John Ryan Murphy,murphjr01,R
Curt Casali,casalcu01,R
Kyle Lewis,lewisky01,R
Mark Reynolds,reynoma01,R
Keon Broxton,broxtke01,R
Erik Kratz,kratzer01,R
Jose Azocar,azocajo01,R
Luke Maile,mailelu01,R
P.J. Higgins,higgipj01,R
Eli White,whiteel04,R
Rajai Davis,davisra01,R
Brandon Guyer,guyerbr01,R
Jefry Marte,marteje01,R
Kevan Smith,smithke04,R
Brent Rooker,rookebr01,R
Brian Serven,servebr01,R
Bubba Starling,starlbu01,R
Nelson Velázquez,velazne01,R
Jesus Sucre,sucreje01,R
Evan White,whiteev01,R
Austin Dean,deanau01,R
Seby Zavala,zavalse01,R
Hanley Ramirez,ramirha01,R
Elehuris Montero,monteel01,R
Jung Ho Kang,kangju01,R
Bubba Thompson,thompbu01,R
Travis Demeritte,demertr01,R
Ryan McKenna,mckenry01,R
Jake Burger,burgeja01,R
Jose Barrero,garcijo02,R
Ryan LaMarre,lamarry01,R
Danny Mendick,mendida01,R
Drew Butera,buterdr01,R
Ernie Clement,clemeer01,R
Jonah Bride,bridejo01,R
Austin Wynns,wynnsau01,R
Edward Olivares,olivaed02,R
Tyler Nevin,nevinty01,R
Craig Gentry,gentrcr01,R
Charles Leblanc,leblach01,R
Zack Short,shortza01,R
David Villar,villada01,R
Jason Delay,delayja01,R
Rob Refsnyder,refsnro01,R
A.J. Ellis,ellisaj01,R
Bryan Holaday,holadbr01,R
Mike Brosseau,brossmi01,R
Kyle Garlick,garliky01,R
Jake Meyers,meyerja02,R
Sean Rodriguez,rodrise01,R
Noel Cuevas,cuevano01,R
Sam Travis,travisa01,R
Tim Lopes,lopesti01,R
Pablo Reyes,reyespa01,R
Jose Rondon,rondojo02,R
Riley Adams,adamsri03,R
Shea Langeliers,langesh01,R
Yoenis Céspedes,cespeyo01,R
Vaughn Grissom,grissva01,R
Kelby Tomlinson,tomlike01,R
Derek Hill,hillde01,R
Yadiel Rivera,riverya01,R
Ryan Rua,ruary01,R
Kevin Smith,smithke05,R
Bobby Wilson,wilsobo02,R
Anthony Alford,alforan01,R
Francisco Pena,penafr01,R
Alex Jackson,jacksal02,R
John Nogowski,nogowjo01,R
Alex Blandino,blandal01,R
Mac Williamson,willima11,R
Luke Williams,willilu01,R
Cam Gallagher,gallaca01,R
Tyler Saladino,saladty01,R
Spencer Kieboom,kiebosp01,R
Cesar Puello,puellce01,R
Humberto Arteaga,arteahu01,R
Sam Huff,huffsa01,R
Carlos Tocci,toccica01,R
Alan Trejo,trejoal01,R
Jose Briceno,bricejo01,R
Dermis Garcia,garcide02,R
Alex Call,callal02,R
Jake Rogers,rogerja03,R
Chris Young,youngch04,R
Aramis Garcia,garciar01,R
Nate Eaton,eatonna01,R
Romy Gonzalez,gonzaro01,R
Daz Cameron,camerda01,R
Taylor Jones,jonesta01,R
Josh Jung,jungjo01,R
Stuart Fairchild,faircst01,R
Spencer Steer,steersp01,R
Chase d'Arnaud,darnach01,R
David Freitas,freitda01,R
Peyton Burdick,burdipe01,R
Tres Barrera,barretr01,R
Andrew Young,youngan02,R
Paulo Orlando,orlanpa01,R
Jonathan Davis,davisjo05,R
Dilson Herrera,herredi01,R
Dustin Garneau,garnedu01,R
Rene Rivera,riverre01,R
Buddy Kennedy,kennebu01,R
Wilfredo Tovar,tovarwi01,R
Mark Mathias,mathima01,R
Ryan McBroom,mcbrory01,R
Rene Pinto,pintore02,R
Deven Marrero,marrede01,R
Jerar Encarnacion,encarje01,R
Tyler Freeman,freemty01,R
Kristopher Negron,negrokr01,R
Stone Garrett,garrest01,R
Tim Federowicz,federti01,R
Scott Heineman,heinesc01,R
Matt Szczur,szczuma01,R
Sean Bouchard,bouchse01,R
Yohel Pozo,pozoyo01,R
Franklin Barreto,barrefr02,R
Ryan Kreidler,kreidry01,R
Stephen Strasburg,strasst01,R
Kevin Cron,cronke01,R
Jermaine Palacios,palacje01,R
Carlos Perez,perezca02,R
Max Scherzer,scherma01,R
Walker Buehler,buehlwa01,R
Drew Ellis,ellisdr01,R
Pete Kozma,kozmape01,R
Gabriel Moreno,morenga01,R
Webster Rivas,rivaswe01,R
Jahmai Jones,jonesja08,R
Peter O'Brien,obriepe01,R
Jett Bandy,bandyje01,R
Isaac Galloway,gallois01,R
Zack Greinke,greinza01,R
Madison Bumgarner,bumgama01,R
Miles Mikolas,mikolmi01,R
Luis Castillo,castilu02,R
Aaron Nola,nolaaa01,R
John Andreoli,andrejo03,R
Jordan Groshans,groshjo01,R
Michael Hermosillo,hermomi01,R
Gregorio Petit,petitgr01,R
Michael Stefanic,stefami01,R
Chadwick Tromp,trompch01,R
Will Craig,craigwi01,R
Kyle Hendricks,hendrky01,R
German Marquez,marquge01,R
Chad Wallach,wallach01,R
Chuckie Robinson,robinch04,R
Sandy Alcantara,alcansa01,R
Mike Foltynewicz,foltymi01,R
Tanner Roark,roarkta01,R
Adrian Sanchez,sanchad01,R
Chris Gimenez,gimench01,R
Steven Matz,matzst01,R
Jameson Taillon,taillja01,R
Adam Wainwright,wainwad01,R
Braden Bishop,bishobr01,R
Jhoulys Chacin,chacijh01,R
Yu Darvish,darviyu01,R
Nick Dini,dinini01,R
Anthony DeSclafani,desclan01,R
Tyler Mahle,mahlety01,R
Charlie Morton,mortoch02,R
Julio Teheran,teherju01,R
Jack Flaherty,flaheja01,R
Jose Quintana,quintjo01,R
Moises Sierra,sierrmo01,R
Zack Godley,godleza01,R
Matt Harvey,harvema01,R
Matt Holliday,hollima01,R
Ivan Nova,novaiv01,R
Corbin Burnes,burneco01,R
Zach Davies,davieza02,R
Johneshwy Fargas,fargajo01,R
Jon Gray,grayjo02,R
Merrill Kelly,kellyme01,R
Anibal Sanchez,sanchan01,R
Mike Soroka,sorokmi01,R
Gio Gonzalez,gonzagi01,R
Terrance Gore,gorete01,R
Dakota Hudson,hudsoda02,R
Joe Musgrove,musgrjo01,R
Hyun Jin Ryu,ryuhy01,R
Marcus Stroman,stromma01,R
Zach Eflin,eflinza01,R
Jake Hager,hagerja01,R
David MacKinnon,mackida01,R
Jeff Samardzija,samarje01,R
Jordan Diaz,diazjo03,R
Oswald Peraza,perazos02,R
Shane Robinson,robinsh01,R
Luis Campusano,campulu01,R
Michael Lorenzen,lorenmi01,R
Kenta Maeda,maedake01,R
Jacob Nottingham,nottija01,R
Jose Urena,urenajo01,R
Connor Wong,wongco01,R
Gabriel Arias,ariasga01,R
Jake Elmore,elmorja01,R
Monte Harrison,harrimo01,R
Miguel Vargas,vargami01,R
Daniel Castro,castrda01,R
Sonny Gray,grayso01,R
Logan Webb,webblo01,R
Chase Anderson,anderch01,R
Jake Arrieta,arrieja01,R
Jordan Lyles,lylesjo01,R
Curtis Terry,terrycu01,R
Peter Bourjos,bourjpe01,R
Dustin Peterson,peterdu01,R
Alex Wood,woodal02,R
Freddy Peralta,peralfr01,R
Caleb Smith,smithca03,R
Chris Stratton,stratch01,R
Trevor Williams,willitr01,R
Wynton Bernard,bernawy01,R
Jaylin Davis,davisja03,R
Adrian Houser,housead01,R
Wyatt Mathisen,mathiwy01,R
Chris Paddack,paddach01,R
Tyson Ross,rossty01,R
Eric Stamets,stameer01,R
Wei-Yin Chen,chenwe02,R
Eric Lauer,lauerer01,R
Royce Lewis,lewisro02,R
Jared Oliva,olivaja01,R
Nick Pivetta,pivetni01,R
Sebastian Rivero,riverse01,R
Antonio Senzatela,senzaan01,R
Vince Velasquez,velasvi01,R
Jabari Blash,blashja01,R
Jeter Downs,downsje01,R
Joseph Odom,odomjo01,R
Rangel Ravelo,ravelra01,R
Jake Smolinski,smolija01,R
Tyler Beede,beedety01,R
JT Brubaker,brubajt01,R
Luke Weaver,weavelu01,R
Ian Anderson,anderia01,R
Colton Welker,welkeco01,R
Erick Fedde,feddeer01,R
Chris Gittens,gittech01,R
Mark Vientos,vientma01,R
Michael Wacha,wachami01,R
Mark Zagunis,zagunma01,R
Chris Archer,archech01,R
Wil Crowe,crowewi01,R
Junior Guerra,guerrju02,R
Esteury Ruiz,ruizes01,R
Lenyn Sosa,sosale01,R
Chad Bettis,bettich01,R
Taylor Motter,motteta01,R
Vladimir Gutiérrez,gutievl01,R
Elier Hernandez,hernael02,R
Carlos Martinez,martica04,R
Kevin Padlo,padloke01,R
Ross Stripling,stripro01,R
Ezequiel Tovar,tovarez01,R
Zac Gallen,galleza01,R
Jeremy Hellickson,hellije01,R
Alec Mills,millsal02,R
Dereck Rodriguez,rodride01,R
Joe Ross,rossjo01,R
Huascar Ynoa,ynoahu01,R
Adbert Alzolay,alzolad01,R
John Gant,gantjo01,R
Chi Chi Gonzalez,gonzach01,R
Trevor Richards,richatr01,R
Dan Straily,straida01,R
Trevor Bauer,bauertr01,R
Paolo Espino,espinpa01,R
Seth Mejias-Brean,mejiase01,R
Jack Reinheimer,reinhja01,R
Ty Blach,blachty01,R
Johnny Cueto,cuetojo01,R
Kyle Gibson,gibsoky01,R
David Hensley,henslda01,R
Brandon McCarthy,mccarbr01,R
Payton Henry,henrypa01,R
Mitch Keller,kellemi03,R
Peter Lambert,lambepe01,R
Ryan Lavarnway,lavarry01,R
Tylor Megill,megilty01,R
Mike Marjama,marjami01,R
Ryan Weathers,weathry01,R
Homer Bailey,baileho02,R
Tony Cruz,cruzto03,R
Andrew Susac,susacan01,R
Lane Adams,adamsla01,R
Shaun Anderson,andersh01,R
Tyler Chatwood,chatwty01,R
Korey Lee,leeko01,R
Taylor Clarke,clarkta01,R
Ryan Court,courtry01,R
Christian Colon,colonch01,R
Robbie Erlin,erlinro01,R
Nick Kingham,kinghni01,R
Brandon Phillips,phillbr01,R
Dario Agrazal,agrazda01,R
Maikel Garcia,garcima01,R
Josiah Gray,grayjo03,R
Dalton Guthrie,guthrda01,R
Jeff Hoffman,hoffmje02,R
Chad Kuhl,kuhlch01,R
Dinelson Lamet,lametdi01,R
Mike Leake,leakemi01,R
Nate Orf,orfna01,R
Matt Strahm,strahma01,R
Bryse Wilson,wilsobr02,R
Jordan Yamamoto,yamamjo01,R
Sherten Apostel,apostsh01,R
Ben DeLuzio,deluzbe01,R
Mark Kolozsvary,kolozma01,R
Johan Oviedo,oviedjo01,R
Dustin Pedroia,pedrodu01,R
Heliot Ramos,ramoshe02,R
Jacob Wilson,wilsoja04,R
Brandon Barnes,barnebr02,R
Matthew Batten,battema01,R
Elieser Hernandez,hernael01,R
Drew Pomeranz,pomerdr01,R
Adam Rosales,rosalad01,R
Taylor Davis,davista01,R
Juan Graterol,grateju01,R
Gabriel Guerrero,guerrga01,R
Caleb Hamilton,hamilca01,R
Ivan Herrera,herreiv01,R
Adam Moore,mooread01,R
Gift Ngoepe,ngoepgi01,R
Corey Oswalt,oswalco01,R
Carlos Perez,perezca03,R
Troy Stokes Jr.,stoketr01,R
Jake Woodford,woodfja01,R
Tony Gonsolin,gonsoto01,R
Joe Hudson,hudsojo03,R
Jake Noll,nollja01,R
Christopher Bostick,bostich01,R
Matt Peacock,peacoma01,R
Jefry Rodriguez,rodrije01,R
Riley Smith,smithri01,R
Carlos Carrasco,carraca01,R
Rocky Gale,galero01,R
Jacob Nix,nixja02,R
Chris Stewart,stewach01,R
Zach Thompson,thompza01,R
Touki Toussaint,toussto01,R
Mitch White,whitemi03,R
Rylan Bannon,bannory01,R
Jerad Eickhoff,eickhje01,R
Zach Green,greenza01,R
Logan O'Hoppe,ohopplo01,R
Blake Trahan,trahabl01,R
Trent Giambrone,giambtr01,R
Patrick Kivlehan,kivlepa01,R
Jack Lopez,lopezja03,R
Israel Pineda,pinedis01,R
Francisco Álvarez,alvarfr01,R
Max Kranick,kranima01,R
Bryan Lavastida,lavasbr01,R
Chris Okey,okeych01,R
Jorge Oña,onajo01,R
Trevor Plouffe,plouftr01,R
Abiatal Avelino,aveliab01,R
Andy Burns,burnsan01,R
Eric Campbell,campber01,R
Robert Dugger,duggero01,R
Braxton Garrett,garrebr01,R
Seth Lugo,lugose01,R
Dustin May,maydu01,R
Kyle Muller,mulleky01,R
Nick Neidert,neideni01,R
Raudy Read,readra01,R
Troy Tulowitzki,tulowtr01,R
Aaron Whitefield,whiteaa01,R
Steven Baron,baronst01,R
Nabil Crismatt,crismna01,R
Brendon Davis,davisbr04,R
Joe Dunand,dunanjo01,R
Jordan Holloway,hollojo01,R
Cody Poteet,poteeco01,R
Aaron Sanchez,sanchaa01,R
Trevor Cahill,cahiltr01,R
Gerrit Cole,colege01,R
Nathan Eovaldi,eovalna01,R
Alfredo Gonzalez,gonzaal04,R
Deivy Grullon,grullde01,R
Christian Lopes,lopesch01,R
Otto Lopez,lopezot01,R
Mike Minor,minormi01,R
Daniel Ponce de Leon,ponceda01,R
Ali Sanchez,sanchal04,R
Ruben Tejada,tejadru01,R
Austin Voth,vothau01,R
Erick Castillo,castier01,R
Dylan Cease,ceasedy01,R
Narciso Crook,crookna01,R
Yainer Diaz,diazya02,R
Domingo German,germado01,R
Brad Keller,kellebr01,R
Brett Kennedy,kennebr02,R
Tim Melville,melviti01,R
Luis Perdomo,perdolu02,R
Michael Reed,reedmi02,R
Lucas Sims,simslu01,R
Spencer Turnbull,turnbsp01,R
Matt Wisler,wislema01,R
Dairon Blanco,blancda02,R
Edward Cabrera,cabreed02,R
Freddy Fermin,fermifr01,R
Ben Lively,livelbe01,R
Humberto Mejia,mejiahu01,R
Rick Porcello,porceri01,R
Adrian Sampson,sampsad01,R
Tony Santillan,santito01,R
Matt Andriese,andrima01,R
Rafael Bautista,bautira01,R
Shane Bieber,biebesh01,R
Dan Butler,butleda01,R
Humberto Castellanos,castehu01,R
Steve Cishek,cishest01,R
Alex Cobb,cobbal01,R
Alex De Goti,degotal01,R
Ryan Dorow,dorowry01,R
Michael Fulmer,fulmemi01,R
Luis Garcia,garcilu05,R
Lucas Giolito,giolilu01,R
Ashton Goudeau,goudeas01,R
Clay Holmes,holmecl01,R
Spencer Howard,howarsp01,R
Corey Kluber,klubeco01,R
Walker Lockett,lockewa01,R
Luis Marte,martelu02,R
Alex McRae,mcraeal01,R
Jake Odorizzi,odorija01,R
Félix Peña,penafe01,R
Cody Ponce,ponceco01,R
James Shields,shielja02,R
Brandon Snyder,snydebr03,R
Elliot Soto,sotoel01,R
Masahiro Tanaka,tanakma01,R
Keegan Thompson,thompke02,R
Yasmany Tomás,tomasya01,R
Josh Tomlin,tomlijo01,R
Ryan Vilade,viladry01,R
Kyle Wright,wrighky01,R
Yency Almonte,almonye01,R
Jaime Barria,barrija01,R
Ronald Bolanos,bolanro01,R
Vinny Capra,capravi01,R
John Curtiss,curtijo02,R
Odrisamer Despaigne,despaod01,R
Bailey Falter,falteba01,R
Caleb Ferguson,ferguca01,R
Robert Gsellman,gsellro01,R
Sean Manaea,manaese01,R
Frankie Montas,montafr02,R
Brian Navarreto,navarbr01,R
Garrett Richards,richaga01,R
Eguy Rosario,rosareg01,R
Luis Severino,severlu01,R
Paul Sewald,sewalpa01,R
Craig Stammen,stammcr01,R
Jesus Tinoco,tinocje01,R
Edwin Uceta,ucetaed01,R
Justin Verlander,verlaju01,R
Marcus Wilson,wilsoma02,R
Logan Allen,allenlo01,R
Trey Amburgey,amburtr01,R
Pedro Baez,baezpe01,R
Chris Bassitt,bassich01,R
Jose Berrios,berrijo01,R
Brad Brach,brachbr01,R
Shane Carle,carlesh01,R
Adam Cimber,cimbead01,R
Mike Clevinger,clevimi01,R
Bartolo Colon,colonba01,R
Jose De Leon,deleojo03,R
Montana DuRapau,durapmo01,R
Mario Feliciano,felicma01,R
Heath Fillmyer,fillmhe01,R
Merandy Gonzalez,gonzame01,R
Carlos Hernandez,hernaca04,R
Felix Hernandez,hernafe02,R
Oscar Hernandez,hernaos01,R
David Hess,hessda01,R
Brewer Hicklen,hicklbr01,R
Andre Jackson,jacksan01,R
Casey Kelly,kellyca01,R
Zack Littell,litteza01,R
Reynaldo Lopez,lopezre01,R
Corbin Martin,martico02,R
James Marvel,marveja01,R
Phil Maton,matonph01,R
Hector Noesi,noesihe01,R
Hunter Owen,owenhu01,R
Michael Pineda,pinedmi01,R
Drew Rasmussen,rasmudr01,R
Drew Rucinski,rucindr01,R
Hector Santiago,santihe01,R
Duane Underwood Jr.,underdu01,R
Jose Urquidy,urquijo01,R
Framber Valdez,valdefr01,R
Zach Vincej,vinceza01,R
Ryan Yarbrough,yarbrry01,R
Cory Abbott,abbotco01,R
Drew Anderson,anderdr02,R
Tejay Antone,antonte01,R
Phil Bickford,bickfph01,R
Jeff Brigham,brighje01,R
Aaron Brooks,brookaa01,R
Andrew Cashner,cashnan01,R
Jesse Chavez,chaveje01,R
Tyler Cloyd,cloydty01,R
A.J. Cole,coleaj01,R
Enyel De Los Santos,delosen01,R
Ross Detwiler,detwiro01,R
Miguel Diaz,diazmi02,R
Justin Dunn,dunnju01,R
Dane Dunning,dunnida01,R
Jake Faria,fariaja01,R
Chris Flexen,flexech01,R
Wilmer Font,fontwi01,R
Seth Frankoff,frankse01,R
